"articleid"	"text"	"source_name"	"language"	"iso3"
"20210910001500_tra_A0001067"	"did not exclude the possibility of creating the federal parliament of russia and belarus in the future , but added that it was not discussed for now . russia and belarus plan to integrate national payment systems and create a unique space within the federal state , putin added .  putin  noted that some of the developed federal programs are focused on harmonizing the tax and customs legislation of the two countries . - general guidelines for the formation of a single monetary policy in the future were determined . application of currency regulation , integration of national payment systems and"	"telegraf.rs"	"srp"	"BIH"
"20230226070000_tra_A0000858"	"26-jun-22-02:35 am does  russia and the west conflict turn into a comprehensive nuclear war ? fear is proposed for months , but its severity increased in recent days , especially with lithuania imposing a partial ban on the transport of russian goods and raw materials to the russian calingrad pocket on the baltic sea"	"arabi21.com"	"ara"	"SOM"
"20220823214500_tra_A0000404"	"a special bank to dodin for 24 hryvnias , which will subsequently aim for the rehabilitation of the defenders of mariupol , who kept azovstal for many days . “ we thought it was a successful magic of numbers : august 24 , 24 hours , 24 hryvnias . any  ukrainian , both within the country and abroad , can afford this amount . well , we are introducing a limited time for the sake of warming up people to make their contribution to this big business , ” oleg psyuk , a band of band , says about the action"	"nv.ua"	"ukr"	"UKR"
"20230718123000_tra_A0002058"	"important country . he underlines what they want to keep and be in dialogue . the un and turkey full support for the grain agreement , also expressed that they will continue to work with the united nations and turkey for the continuation of the black sea cereal initiative between  russia and ukraine . full support . after the decision of turkeys decision on the application of sweden on the application of sweden . ukrainian foreign minister dmitro kuleba will also attend some of the meeting . in this section , ukraines needs will be discussed . follow ntv on social"	"ntv.com.tr"	"tur"	"TUR"
"20221219134500_tra_A0001410"	"in the opinion of the institute , a meeting with the belarus president aleksandar lukashanko , is also attempting to create the new stage of war . lukashenka suggests a new phase in planning and leading the russ , and can be concluded that the continuation of offensive operations against  ukraine in the coming period , the ability of russia to implement such operations . the human being formed by mobilized reservists and annual autumn recruiting cycle will not be prepared enough to perform fast and ef icasan mechanized maneuver , the institute claims . also , in their opinion ,"	"informer.rs"	"srp"	"BIH"
"20220219221500_tra_A0000108"	", most of the army and regularly shelters militia , including the use of prohibited technology . the evacuation of women , children and older people began to evacuate the invasion of ukraine . in the rostov region , and also declared universal mobilization . conflict in the east of  ukraine has been continuing for eight years , during this time more than 13 thousand people have become victims , according to the united nations , and about 44 thousand have suffered . debalaction of the situation is discussed at the meetings of the contact group . minsk agreements were taken"	"ria.ru"	"rus"	"CZE"
"20210627120000_tra_A0000409"	"assessed as extremely heavy , i ask you to understand the position of family and loved ones - each person has the right to privacy , despite the fact that is a public person , the representative of the singers emphasized . marina abrosimova was hospitalized in one of the  moscow  clinics with pneumonia and a lesion of 40 % of the lungs on june 16. later , the singer was introduced into the drug to whom and connected to the artificial ventilation of the lungs . it was reported that the level of lesion of the lungs reached 75 %"	"regnum.ru"	"rus"	"TKM"
"20190210124500_tra_A0000394"	"state bureau of investigation and its own official investigation . as actions already in the district administration and the actions of the police at the first arrest , the head of the metropolitan police promised . recall , on february 9 , law enforcement officers detained about 40 people in  kiev  when trying , as a result of the incident , three policemen were taken to the hospital . the state bureau of investigations on the fact of exceeding the authority by police officers during clashes with activists near the podolsk district police department . later it became known that the"	"korrespondent.net"	"rus"	"LVA"
"20220412171500_tra_A0000541"	"on the import of russian oil or even embargo . the minister of foreign affairs denmark eppe pokofod emphasized that the pressure on russia should be strengthened . meanwhile , lithuanian foreign minister gabrielius landsbergis noted : the sixth package will include oil options . it is important - for  putin, shoigu and others created a special tribunal : watch video"	"24tv.ua"	"rus"	"GEO"
"20220224141500_tra_A0002811"	"we are ready , dont give gods disaster , state secretary of the ministry of economy state secretary of the ministry ivo militic told humanitarian stocks in the case of a humanitarian disaster that could encourage  russian invasion of ukraine . were ready for , dont give gods disaster . if we were ready to grow , ice in gorski kotar , a migrant crisis , covid , we will be ready for this , marijani ravel , asked if we were ready for humanitarian catastrophe that"	"rtl.hr"	"hrv"	"HRV"
"20220825104500_tra_A0000964"	"- the preservation of power . this statement was directed to the inner belarusian audience , where propaganda tries to create a negative image of ukraine and shows that war is leading the united states , the united kingdom , poland , led by nato against russia . allegedly ,  ukraine is only an instrument in this war , and belarus pursues a peaceful policy , - the statement of pathonko . the opposition believes that this greeting lukashenko tried to nourish this rhetoric . he added that it was picked up by all state media and people who receive information"	"24tv.ua"	"ukr"	"GEO"
"20201020094500_tra_A0000765"	", ,06:19 - regnum in an interview with ukrainian deputy minister of foreign affairs , vasily bodnar sounded interesting thoughts on the relationship of kiev to the problem of recognition of kosovo . about why such a move of thought , which demonstrated bodnar , may be expensive to  ukraine in the wrong future , says oa regnum observer ukraine ivan shilov © ia regnum at the end of september , bodnar said that ukraine has already been made to work with kosovo passports . this means that the state of kosovo , if not recognized by kiev ( from"	"regnum.ru"	"rus"	"RUS"
"20200607094500_tra_A0002105"	"every person or hand , or a country dealing with him , and these sanctions are considered if they are applied , the maximum limit without direct military intervention , which can be exposed to the assad regime . the caesars law targeting the assad regime mainly , it places  russia and iran face to face us sanctions , especially since it is accompanied by a high-paced pressure campaign against iran . therefore , caesars caesars law on further suffocation and isolation from the world regime and expanding americas ability to punish actors who are involved in supporting assad regime or"	"sarayanews.com"	"ara"	"JOR"
"20221127210000_tra_A0000632"	"weekend to express hungarys support for the grain from ukraine program in kiev , whereby western allies of ukraine buy grain for developing countries , and to meet representatives of the local hungarian community in transcarpathia . the event , which has been the highest level of hungarian visit to  ukraine since the outbreak of the war , is the telegraf news portal . even in the title , it is explained whether the visit of novák helps budapest from putins embrace . ( sic ! , ukrainian press traditions say vladimir putin and russia should be written in lower case"	"mandiner.hu"	"hun"	"HUN"
"20181126154500_tra_A0000887"	"german foreign minister khaiko maas stated that berlin could become an intermediary between moscow and  kiev  in resolving the conflict in the kerch strait . \we will give to understand both parties that we urge them to have a restrained position , and if necessary , we will perform a mediator so that this conflict does not turn into a serious crisis , \ '' said"	"kommersant.ru"	"rus"	"LTU"
"20221115161500_tra_A0000418"	"petushenko said . m-12 moscow-kazan in the vladimir region will be launched in december of this year , which is a year earlier than it was planned . the project m-12-general length of the m-12 project from moscow to yekaterinburg will be about 1.6 thousand km . in april .  russian president vladimir putin in a message to the federal assembly said that the road route from moscow to kazan should be extended to yekaterinburg , and the construction of the entire highway should be completed until 2024. it is expected that travel time along a new road from kazan to"	"tass.ru"	"rus"	"AZE"
"20220127023000_eng_A0000043"	"krill are the keystone species in the southern ocean . krill connect all the other species down there . its impossible to overstate the importance of krill. ” this perceived abundance has led global fishing fleets to target antarctic krill . vessels from china , norway , south korea ,  ukraine and chile trawl the regions choppy waters from december to july.under established rules within the antarctic treaty system , trawlers must stay largely confined to four areas off the antarctic peninsula . and a seasonal catch is capped at 680,000 tons . but polar scientists say the current limits may"	"yahoo.com"	"eng"	"PAK"
"20191106204500_tra_A0000346"	"lokomotiv in his field lost to the turin juventus - 1 : 2 in the match of the fourth round of the champions league group stage . recall , two weeks ago railway with the same account lost to the italian top club and visiting . cristiano ronaldo was in  russia repeatedly as a player and manchester united , and real , and portugal national team . and every time his visit became the cause of a crazy excitement . the current visit of the portuguese has not been an exception as part of juventus . the pillar was already at"	"rg.ru"	"rus"	"BLR"
"20220712123000_eng_A0000143"	", the determination to protect and create… by helping ukraine , we strive for victory and the speedy restoration of the country , the head of the lithuanian government added . šimonyte announced intentions to provide such financial assistance on july 4-5 at the international conference on the restoration of  ukraine , held in lugano ( switzerland ) . the assistance is allocated from funds borrowed on behalf of the state , which is provided for in the framework of the lithuanian ministry of finances public finance management program , which includes lithuanias support for development cooperation initiatives ."	"interfax.com.ua"	"eng"	"UKR"
"20220314084500_tra_A0000104"	"having been on the verge of tears during his parade at the week of the milanese fashion , the very first of his young career . but we can not cry on the podium , they pay me for that and i can send the money to my family in  ukraine . under the shock on the night when the russians started bombing his city of origin , malky , about a hundred km from kyiv , i could not sleep , im still in shock , said this slender girl with a sweet face , who shares an apartment with"	"lepoint.fr"	"fra"	"MLI"
"20220629170000_tra_A0000296"	"german people more than the russian aggressor . further information all federal scenarios stipulate that at least 20 percent gas must be saved from july 1 , said hamburgs environmental senator kerstan . ( 06/23/2022 ) the energy and food prices are a record level as a result of the  ukraine war . tips for saving in the household and when shopping . this topic in the program : ndr 90.3 | ndr 90.3 current | 29.06.2022 | 3:00 p.m. keywords for this article"	"ndr.de"	"deu"	"DEU"
"20220510014500_tra_A0000801"	"gold , aelena complained that she was threatened and suggested that the elections were fraudulent . two weeks later , george . specialized on issues of international relations , anton pisaroglu announced that he was breaking the collaboration with gold and simion , saying , in the context of the  ukraine war , that his politics becomes dangerous to romania . the phenomenon continued , and at the end of march the national driving bureau . the gold was decided to exclude the deputies danu < U+021B > aelena , nicolae roman and ciprian ciubuc . the party then motivated that"	"ziare.com"	"ron"	"ROU"
"20200731141500_tra_A0001431"	"flag of ukraine . photo : pixabay hymn performance in schools is only rather than an obligation . this is reported by  ukrainian news in a statement of preservices of the kyiv city council . it is noted that the city council recommended the capital schools to begin the day from the anthem of ukraine , as well as to perform it during celebrations . the corresponding decision was supported by 64 deputies"	"ukranews.com"	"ukr"	"UKR"
"20220210220000_tra_A0000363"	"the prime minister of latvia kristyanis karins called that in the foreseeable future in eastern europe there was an increased presence of nato due to the threats of security , allegedly emanating from  russia . he stated this before meeting with german chancellor by olaf scholtsov , president lithuania gitanas based and the prime minister of estonia kai callas , reports tass . according to the premiere that security threats from the russian federation , together with the situation in belarus , mean that"	"bb.lv"	"rus"	"LVA"
"20210315104500_tra_A0000377"	"of the agency , the head of the region on monday , in addition to the traditional planning meeting , will hold a meeting on the universiade preparation . a number of meetings of evgenia kuivashev appointed on thursday - in particular , with the ambassador of italy in the  russian federation pascual tereratchano and the leadership of the boxing federation . the head of the region is also involved in the opening of the interregional conference forumrono 2021 and the ceremony for the survey of volunteers of the all-russian promotion # move . on friday , the governor will take"	"ura.news"	"rus"	"LTU"
"20220708090000_tra_A0002068"	"thats true . now it will not start working in serbia , but is preparing , she says . according to nova.rs , milincics daughter will head that television , but she neither confirmed nor denies this information . the eu council in march decided to suspend the distribution of  russian state media rasha today and sputnik in the eu . according to media reports , sanctions cover all means of transmission and distribution , such as cable , satellite , iptv , platforms , websites and applications , and all relevant licenses , authorizations and distribution agreements have been suspended"	"makfax.com.mk"	"mkd"	"MKD"
"20190327150000_tra_A0001730"	"of the finsbury park mosque in london , considered the epicenter of british muslim brotherhood , an islamist organization conservative who was born in egypt and has subsidiaries worldwide . they are considered creators of the modern political islam and have been banned in countries like egypt , syria ,  russia , saudi arabia , bahrain and united arab emirates for alleged terrorist links . at the mutawa teaches that the wife should not be beaten with heavy sticks , but with a light hand to make him understand who the boss ( video capture ) . zaki itself has been"	"clarin.com"	"spa"	"ARG"
"20230405074500_tra_A0001401"	"youngest “ fast ” of the 97th year , the oldest-88th . for the military new cars-especially a great help , i was a volunteer myself in 2014-2015 and saw how many fast the enemy fired , -continues igor . how many fast have been destroyed and damaged by the  russians ? the ministry of health has recently stated that since the beginning of the great war , the russians have destroyed or seized 560 fast and damaged 1206 medical facilities . combat doctors say that contrary to all international conventions , the russians also fireting stabilization points a few kilometers"	"tsn.ua"	"ukr"	"CZE"
"20220623101500_tra_A0001117"	"to ukraine a robot spot , which can be used in the demining of explosive objects . the robot from the boston dynamics can neutralize shells and drag the non -torn ammunition into special pits for blasting . determinated with ukrainian sappers will work in the de -occupied territories of  ukraine . spot works , in the case of training , can automatically perform repetitive tasks without the help of a person . in addition , it is able to work in the field between trees and in thick forests . boston dynamics spot spot : getty images engineers told work"	"meta.ua"	"ukr"	"UKR"
"20220928230000_tra_A0000826"	"impotence it recorded . however , he fell silent in the face of natos belicist policy and warrior plans , encouraged by washington and the european union . he condemned sanctions against some countries on the sidelines of the un . it was the way to reject us actions against  russia , but also against cuba , venezuela and nicaragua . however , it should be more accurate and dwell on the specific case of the largest of the antilles , subjected to a genocidal block , just as he expressed his support to palestine , and the saharaui cause.pedro castillo"	"uol.com.br"	"por"	"BRA"
"20220109091500_tra_A0000638"	"experience . today he wouldnt make a very sense to do these transfers , with globalization everything has also been uniformed in training . i became the athlete that they are thanks to them . i and i aldo montano we both have a russian technical imprint . then the  moscow  fencing went into crisis and their federation took the best technicians from the world , including our wites in the fioretto and mazzoni in the sword . with montano you have shared the same coach ? sidjak , the oldest among the russian masters ive had . and what he"	"ilfattoquotidiano.it"	"ita"	"ITA"
"20220310141500_tra_A0002298"	"a day earlier , international media mentioned the possibility for kosovo to be a transit country for aircraft to be sent to  ukraine . in this regard , kosovo prime minister albin kurti said that such a request did not receive from the north atlantic alliance . but kurti said that once they receive this request will treat and give a response in record time . we have not received such a request"	"telegrafi.com"	"sqi"	"MLI"
"20220126221500_tra_A0000377"	"and one of them is that any country has the right to choose his own way , said stoltenberg , commenting on the response directed by nato of russia . nato respects decisions when countries decide to enter into the ranks of the members of the alliance , such as  ukraine , or not to join , as finland and sweden , he said . according to him , these are fundamental principles , and they are reflected in the nato position ( transmitted on wednesday of russia - if ) ."	"interfax.az"	"rus"	"AZE"
"20210601014500_tra_A0001249"	"for teams in the weak medium form of the tournament . specifically , futsal vn can completely fall into the death table with the three strong teams of the three seeds . in theory , futsal vn can fall into extremely dominant tables like with brazil ( or argentina or  russia ) , iran ( thailand ... ) and japan ( or serbia ... ) ."	"plo.vn"	"vie"	"VNM"
"20230614161500_eng_A0000855"	"event in st. petersburg . the united arab emirates will participate in the forum as an official guest country this year . every year spief is held under the auspices of the russian president , the kremlin aide said . the forum brings together world leaders and heads of major  russian and foreign companies , banks , leading experts , scientists , representatives of mass media and civil society , he pointed out . this year will also see large-scale participation by foreign guests . we have gotten accustomed to trying to impress each other with figures , but i will"	"tass.com"	"eng"	"MNG"
"20220315203000_tra_A0001630"	"the president of the croatian agricultural chamber mladen jakopovic , visiting the htv diary as he does not need to worry too much that the great exporters of wheat are like  russia and ukraine temporarily expelled from the market . on the other hand , a worrying increase in prices for food supply and food for people . the price will definitely go upwards , but quantities will surely be sufficient , hard jakopovic . he emphasized that the croatian part of"	"index.hr"	"hrv"	"IRL"
"20230710151500_tra_A0000780"	"advised them to simply congratulate her on the holiday . shortly after the incident , both men were detained . they stated that they did not remember why they chanted slogans , but unconsciousness from justice still did not save . life wrote that for which he spun russophobia in  russia and how it ended for him , read in"	"life.ru"	"rus"	"LVA"
"20190423161500_tra_A0001878"	"will be built for daily or seasonal balancing ? these questions still require a detailed analysis . ukraine is also necessary to fulfill their homework - to determine the optimal path to a 100 % renewable energy of the future . tools of such modeling exist and are known to  ukrainian specialists , and the use of better world experience will improve the quality of strategic plans . here , the role of the state is to create an environment favorable for private investments in such technologies and assets that will move the country in the direction of a reliable green"	"nv.ua"	"ukr"	"BOL"
"20190515120000_tra_A0000743"	"the central house of architect , an exhibition of digital painting and sculptures on the topics of the future urban space is organized by the foundation for the development of contemporary art and the union of architects of russia with the support of the russian academy of arts and the  moscow  union of artists . expectation horizon - this is an exhibition on how artists see tomorrow in the space created and equipped with human hands . first of all , the architect . about the possible mood , sensation and tonality of tomorrow . to feel these tonality helped telegram-channels"	"rt.com"	"rus"	"SWE"
"20230404140000_tra_A0004185"	"in the european union and eu and g7 companies prohibited from reselling a barrel at more than 60 dollars , in order to grew the revenues of the kremlin . on february 4 , 2023 , it was the turn of all refined petroleum products to be banned in .  russian economy russian and belarusian banks are also in the viewfinder of brussels , which decides to exclude the main of between they from the swift communication automated communication system , including sberbank , the largest russian establishment . this exclusion , concluded on june 3 in a sixth train of"	"lepoint.fr"	"fra"	"MLI"
"20220321003000_eng_A0000869"	". adamu : na for past financial fights wey efcc arrest am . chike : chai ! governor for morning , cell for night . adamu : bianca slap na to reset one head but na everyday buhari dey slap 200m nigerians with different corrupt actions like evacuating nigerians from  ukraine with $ 8.5bn when boeing 737-700 cost less than $ 90m . buhari slap na di dirtiest ever . na we three prisoners symbolise nigeria wey dey inside chains . copyright punch . all rights reserved . this material , and other digital content on this website , may not"	"punchng.com"	"eng"	"FRO"
"20180220224500_tra_A0002587"	"supported ukrainian president viktor yanukovych , which was later deposited in connection with anti-corruption protests in 2104. gates and manafort served according to public ukrainian documents several million of dollars for the assignment they performed for yanukovych . revenue was not reported . mueller took friday out chances against 13  russians and three companies to have mixed into the presidential election in the united states . mueller also investigates whether president donald trump itself has tried to prevent the russia investigation . the white has repeatedly rejected any accusation . fly from tokyo to paris for five hundred kroner this japanese"	"dn.no"	"nor"	"NOR"
"20191115081500_tra_A0000660"	"on the eve in st. petersburg for an attack on the migrant was made another crime . according to the investigation , the 17-year-old fan of the tesacian nationalist participated in the hooligan leaving in the park ekateringof . there , coming , threatening with violence , urged to leave  russia . the meeting of the 30-year-old subsidiary working petersburg confectioner with hostile young people occurred on the day of peoples unity , november 4th . ulugbek picked up in the park ekateringof about eight in the evening . showing him a gas can , young men demanded from a man"	"fontanka.ru"	"rus"	"RUS"
"20230219133000_tra_A0000484"	"the comic book tells about the supercommand of land , which is fighting for mines . the characters explain the kids how to properly behave with explosive objects .  ukraine is recognized as one of the most replaced countries in the world . in the territories where active fighting was carried out , mines , shells and unreasonable ammunition are found , the ses said . photo : how to protect children from explosiveka ( bezpeka.info ) the main characters"	"rbc.ua"	"ukr"	"UKR"
