"articleid","text"
"20190616083000_tra_A0000577","but did not specify whether the drone recorded the attack itself . one way or another , this is the first information that in the united states has been information on the preparation of iran operations before it took place . recall that june 13. more news about events in  ukraine and in the world on all news on one channel in follow the news sign up our page in"
"20220416094500_tra_A0001531","need heavy arms in order to be able to export the battles outside the cities and reduce the risk of the civilian population for civil infrastructure . solving this operation even in calendar time , with the approach of may 9 , there is a great symbolic meaning for the  russians . which means that they will throw all the forces . the logistics for russian military parts to the east will be easier because they are closer to the russian border , as well as the creative corridor from crimea to donbas , the expert added . in the east"
"20191014074500_tra_A0000226",". the longer the game went , the more he was what is called in the reporters talk linchpin . what is documented only by his 180 ball contacts . last year , the story had left around the erdoganfoto in gündogan its mark . at the world cup in  russia he was a sporting failure , his performance is a caricature of what he can . he responded on the court almost defiantly , looked like inspired . at least in this respect , he seems to have evolved over the previous year . it was the 35th international for"
"20220217181500_tra_A0001190","patroll roads . we also carry out selective checks of citizens , vehicles . its all for calm , for security . and , in particular , to detect criminal elements and identifying possible representatives of the aggressor country that may be involved in sabotage attacks , said thursday in  kyiv  deputy chairman of the national police of ukraine oleksandr fatsevich . he emphasized : the reinforced mode is still introduced to sunday inclusive . perhaps the reinforced service mode will be extended . the deputy chairman of the national police also said that preparation for tactical exercises is taking place"
"20200527203000_tra_A0000281","gives way to pure fear quickly . although he tried to hide the evidence of his successful experiment are him all soon on the heels : the mullahs of tehran , that do his wife and child hostage , the intelligence agents from the united states and the traders from  russia . who is he to be trusted because ? this is the central theme of the thriller boomerang , but the well-known english author nicholas shakespeare actually tells the story of the english ex-journalist john dyer . who has returned from brazil , so that his son can attend the"
"20180808013000_tra_A0000257","letters\ '' , the police arrived at the place . the guards of the order are negotiating with the invaders . one woman closed in the office and for a long time was afraid to go out , one girl became bad , \ '' she told . ensure\ ''  ukraine \ '' has been working since 1998 and ranks third from a hundred non-state universities in the country . sign up ! ``"
"20220407091500_tra_A0000349",". when the possible time for the coordination of anti-russian measures , borrel stressed that the decision will be taken at the meeting of representatives of countries . the fifth package of sanctions may include an embargo for russian coal . new technology and closure sea and land borders for  russian carriers . these measures should approve all 27 eu member states ."
"20220819123000_tra_A0001824","a bad transport of 80 % of all the goods in germany , is so low that the passage of barges could become impossible at the end of the week . thus , the deliveries of oil and coal that help the country are threatened to reduce the dependence on  russian gas . rhine is already at a lower level than in 2018 , when europe has gone through the last major drought . in that year , the river could not be transited by barges over 132 days , this almost triggering a recession . the costs of water transport"
"20220324021500_tra_A0000987","and the united states so that russia is issued from the membership of the group of 20 countries with the largest economy in the world following the invasion to ukraine received rejection from china . the government actually supports indonesias steps as g20 chairmen in the midst of demands that  russia be excluded from the g20 membership which will take place in bali , october 2022. this chinese response follows the russian attitude through the ambassador lyudmila vorobieva which supports indonesia as the g20 presidency . previously , russian ambassador to indonesia lyudmila vorobieva hoped that indonesia would not give up"
"20191202080000_tra_A0000787","pipeline begins just over five years after the signature in may 2014 of an agreement by 400 billion dollars , taking advantage of the visit of the russian president to the chinese capital . putin then described the greater in the gas station during the era of the ussr and  russia . the construction of the gas pipeline began in september of that same year . the gazprom website scores the project details : about 3,000 kilometers of pipes with a capacity of 38 billion cubic cubic native gas , which will be transported from the gas fields from kovykta ,"
"20230413201500_tra_A0000127","there were few people who want to stop there and in the old days . and then it was completely closed . few people want to relax at the hotel of ukrainian nationalists . everyone remembers how ruslan published a photograph on the internet where rotaru was captured with the  ukrainian flag . the son added a commentary on the photo glory to ukraine ! , with which ukrainian criminals come up . after that , the massive abolitions of the previously planned performances of the singer in russia began . the peoples artist of the ussr did not add popularity"
"20230719170000_tra_A0000397","head of state rumen radev . the gathered people chant here is not moscow , radevs impeachment and radev , you are not human . the protest posters say : rumen = military pilot , but not a falcon ! ! ! , bulgarians do not sell honor for 3  russian silver people ! at the same time , another protest is being held - for the preservation of the bulgarian lion . the demanding impeachment of the president have identified the protesters as provocateurs . in his speech last week , radev stated that ukraine herself waged the war and"
"20181005164500_tra_A0000886","defallarization of the economy will begin with the shelf projects of  russia october 5 , 2018 , 18 : 28economics"
"20221215203000_tra_A0001442","hundreds of civilians were executed in the first weeks of the russian invasion of  ukraine - reported on thursday ( 15 ) the high commissioner of the united nations human rights , volker türk , suggesting possible war crimes . in one report , türks office documented executions of at least 441 civilians in only three regions of ukraine between february 24 - the date"
"20190422181500_tra_A0000678","the results of the day and led the news service . the journalist was already working on ntv , but after the overclocking of the tv channel in 2001 went to tv-6 . later he held the post of commander echo-tv , as well as the director general of the  moscow  representative office of the rtvi tv channel . what happens in russia and in the world ? we explain on our . suggest !"
"20220519170000_tra_A0000569","the deputies of the borislavsky city council made a historical decision - they banned the activities of the religious community of the ukrainian orthodox church of the parish of the protection of the blessed virgin mary , which obey the  moscow  patriarchate , the report said in the borislav city territorial community . it is noted that this decision comes into force on june 1 , 2022. in accordance with it , it is forbidden to use the premises of the church to conduct meetings and worship and sell products of"
"20190319100000_tra_A0001197","champion in figure skating alina zagitova will close a short program in the female single skating on the world cup in the japanese site . the draw was held on tuesday , on march 19 , on the eve of the start of the championship . the first of the  russians on the ice will be the champion of europe sophia samodurova ( she got the 34th starting number ) . evgenia medvedeva will present his program 38th . zagito got the 40th starting number . recall the world cup will be held in the site from march 20 to 24."
"20181229130000_tra_A0000965","'' compatriots living in countries with a complex socio-political and economic situation where armed conflicts or change of political regime are taking place . it is not necessary to explain which countries - and if precisely , the country - mean the authors of the law and as expanded in  russia to interpret the concepts of \ '' compatriots\ '' . in essence , in the kremlin , due to the desire to pay additional pressure to ukraine decided to return to the simplified procedure for the provision of citizenship to the inhabitants of the former soviet union , which refused"
"20230708210000_tra_A0000359","supply ( armed forces ) cassette ammunition . his words agency ansa . the politician called madness the transmission of the armed forces of the armed forces of cassette ammunition and recalled that they are prohibited by the convention . against the background of such actions , the conflict in  ukraine “ risks never ending , ” he said . according to de christophoro , “ there is no possibility ” of the end of the crisis “ victory on the field ” of the battle . “ a real way of the world , promoted by europe , is necessary"
"20230219133000_tra_A0000484","the comic book tells about the supercommand of land , which is fighting for mines . the characters explain the kids how to properly behave with explosive objects .  ukraine is recognized as one of the most replaced countries in the world . in the territories where active fighting was carried out , mines , shells and unreasonable ammunition are found , the ses said . photo : how to protect children from explosiveka ( bezpeka.info ) the main characters"
"20230719121500_tra_A0000190","to give yourself a way . - you are from donetsk . do you have someone in the occupation ? - we moved with her husband and son to kiev just a few months before the war . then all other relatives went - someone settled in the west of  ukraine , someone left abroad . i only had a baptism in donetsk , but we do not have a relationship . our house remained there , but because of the russian occupation we can not go there . - how has your life changed after the full -scale invasion of"
"20220804174500_tra_A0000481",", 21:10-regnum nizhny novgorod region is recognized as one of the leaders among the regions of  russia in the number of attractions-it takes 10th place in the ranking compiled by analysts in the yandex traveling service . nizhny novgorod kremlin andrei repin also read : the most popular nizhny novgorod attraction turned out to be a diveevo monastery , which occupies the 25th line in the rating"
"20220226124500_tra_A0000542",". however , european and ukrainian diplomats managed to persuade these countries . as a deputy chairman of the ministry of foreign affairs of poland moravets , he managed to conduct a productive conversation with the prime minister of hungary viktor orban.vin assured me in full support of sanctions against  russia . in particular , this applies to swift system , - said diplomat . screw on telegrams to promptly recognize important news ."
"20220326113000_tra_A0002034","attended by a number of highest russian military officials , including gerasim gerasim , which has also recently not appeared in public . ruski minister sergei schejga did not appear in public today , a working meeting with military leadership was held today . scheighus said the military operation in  ukraine was implemented according to plan , despite difficulties , the russian ministry of defense , transferred tanjug . in recent days he spent a lot about where the russian defense minister , as he was not seen in public than march 11 , reminded reuters . in the video of"
"20230114144500_eng_A0000255","baltic sea and is the only major seaport in lithuania.raimonds cudars , the energy minister in neighboring latvia , said the explosion in lithuania has not caused problems with natural gas supplies in latvia.cudars had been informed that the reason for the explosion was a technical accident.lithuania , like war-torn  ukraine , borders russia . it is situated on the baltic sea where the russia-to-germany nord stream gas pipelines were destroyed by explosions last year.firefighters rushed to the scene and flames lit up the dark lithuanian sky and were visible several kilometers away as the gas remaining in the pipe continued"
"20230103044500_eng_A0000490","carrying the putrid responsibility of what happened to national assets in the name of privatization as documented by the nigerian senate in 2011. ” as an insight , the aluminum smelter company of nigeria , alscon , which was set up with $ 3.2 billion , was sold to a  russian firm , russal , for a paltry $ 130 million . delta steel , which was set up in 2005 , at a cost of $ 1.5 billion , was sold to global infrastructure for just $ 30 million. “ alscon got back $ 120 million for the dredging of"
"20220124114500_tra_A0000467","in the parliamentary assembly , the powers of the delegation of  russia , reported that at the opening of the winter session pace on january 24 , two protests were filed with respect to the powers of the delegation of the russian federation - from the deputies of emanuelis singer and evgenia kravchuk from lithuania and from ukraine , respectively . they"
"20220303070000_tra_A0001664","the russian federal security service has led information that informed ukraine from a murder complot against president volodymir zelenki . that says the cyberhacking collective anonymous on twitter . the russian fsb has leaked information that warned  ukraine for a murder compartment against president zelenki . now we can expect an internal power struggle within the kremlin to overthrow the putin regime . in the meantime , lets continue the attacks , it sounds the content inserted from a social media network that wants to write or read"
"20220127203000_tra_A0000370","citizens who are now in ukraine , leave ukraine , said psaki . according to her words , the invasion can happen at any time , our assessment has not changed . as reported ia regnum , earlier with a similar appeal to the americans , the us embassy in  kyiv  was made , explaining it with a difficult situation in the field of security . for the day , the united states and their satellites from november 2021 declare a russian invasion to ukraine , which here is about will take place . read earlier in this plot : read"
"20221117131500_tra_A0000503","the data regarding others are clarified . we are able to say that prime minister denis shmygal previously said that the invaders in the morning . in particular , the “ south mash ” in the dnieper . the topic is briefly what you need to know about the next  russian attack on november 17 on the morning of november 17 throughout the country , air aircraft signals were heard . the invaders launched missiles in a number of regions of our state . the head of the dnipropetrovsk ova valentin reznichenko said that a strong fire broke out as a"
"20190103213000_tra_A0002474","followed by , but the surprise was that the plane , which carried al-bashir to the syrian capital , is a russian military plane 154 ! . these days are the days of a mauritanian presidential visit to syria in the term perspective , and then about russian temptations by  moscow  with mauritanians to complete this visit as soon as possible ! . after the visit of al-bashir , putin had a significantly celebrated a media , and he had come out on arab capitals . since eight years ! during days from now , a summit will be held in"
"20201211161500_tra_A0000688","suicide bomb led to the death of 37 people , about 150 people were injured . responsibility for the terrorist attack took over the leader of chechen militants from doku umarov . according to russian special services , umarov died in 2013. the loudest terrorist attacks of recent years in  russia , moscow metro , 2010 terrorist attack march 29 , 2010 to events in st. petersburg was the last terrorist attack in the russian subway . then two suicide terrorists have activated explosive devices at lubyanka and park culture stations . 41 people died , 85 were injured . responsibility"
"20220525023000_tra_A0000368",", who had also indicated the probable suppression of the measure , explained last week . russia , meanwhile , could no longer pay the debt with dollars in american banks , within the framework of reinforced sanctions decreed by the united states on april 5. the governor of the  russian central banking , elvira nabioullina , acknowledged on april 29 that moscow faced payment difficulties , but she refused to talk about the potential entry of her country in default . russian external debt represents , according to the ministry of finance between 4,500,000 and 4,700,000 rubles ( from 78,000"
"20220909104500_eng_A0000575","warned the west on friday that plans to try to cap the price of russias oil and gas exports in retaliation for the war in  ukraine would fail and ultimately lead to the instability of the and its allies . just before the announced a price cap on russian gas on wednesday , president threatened to sever supplies if such limits were imposed , warning the west it would freeze like the wolfs tail in a"
"20230710104500_tra_A0003148","on average , you can sell the dollar at the rate of 36.70 uah , the euro - 40.40 uah . outnibusively euro euros , the hryvnia exchange rate has not changed / cash in the banking exchangers of  kiev  today , july 10 , remained at the previous level - 37.35 uah / dollars . as the unian correspondent reports , regarding the euro , the hryvnia course has not changed and is 41.00 uah/euros . on average , it is possible to sell the american currency at the"
"20220428211500_eng_A0001249","others segment by application automobile motorcycle engineering vehicle others global curing bladder market : regional analysis the report offers in-depth assessment of the growth and other aspects of the curing bladder market in important regions , including the u.s. , canada , germany , france , u.k. , italy ,  russia , china , japan , south korea , taiwan , southeast asia , mexico , and brazil , etc . key regions covered in the report are north america , europe , asia-pacific and latin america . the report has been curated after observing and studying various factors that determine"
"20180806190000_tra_A0000763","of the sources of the agency said that before the arrest of assets in london gazprom canceled the placement of eurobonds in pounds of sterling . other two sources among the factors that influenced the transaction , called the aggravation of a bait with naftogaz . more about negotiations with  ukraine - in the publication \kommersant\ '' . ``"
"20220311141500_tra_A0002194",", and now the russian embassy for . content continues ... they say that the news of the craft drop was seen in the media and that they need to contact experts working on the case for all issues . they added that one of the addresses and embassy of  ukraine in croatia because that drone was produced in the territory of ukraine . they say that russian forces have no weapons of such drones since 1991 , ie from the disintegration of the soviet union . they also pointed out that there were only civilian casualties with mere happiness ."
"20220227161500_tra_A0001235","items allocated by the authorities of the host countries , the unhcr high commissioner ( unhcr ) is highlighted in a tweet . a very large number among them has gone to poland , where the authorities measure about 156,000 ukrainians have arrived there since thursday , starting invasion from  russian troops . at yesterdays day , the border guards reported that 77,300 people who arrived in poland from ukraine ."
"20230227050000_eng_A0000510","in a drama series , while jennifer coolidge won outstanding female actor in a drama series . “ this was the best job i ever had , ” said actor f murray abraham , before sending out a prayer to earthquake victims in syria and those dealing with conflict in  ukraine .the cast of abbott elementary brought home the award for ensemble in a comedy series . “ to be a part of this ensemble makes me a better actor every day , ” said creator and lead quinta brunson . it was the first network show to win this award"
"20220327001500_eng_A0000306","sanctions against russian oligarchs , banks and businesses could be lifted if vladimir putin ends his invasion of  ukraine and commits to “ no further aggression ” , liz truss has said . the foreign secretary said in an interview published on sunday that the threat of “ snapback sanctions ” would be retained if the russian president did attack again . ms truss told the sunday telegraph that"
"20220120114500_tra_A0002674","oradea , on the occasion of the 70th anniversary of life and 50 years of artistic activity known artist oradean photographer , after which he was varnished in the euro photo art gallery , fiap oradea - romania exhibition center ( august 2021 ) , exhibition center fiap ujhorod -  ukraine ( october 2021 ) , hungarian photo association gallery in budapest ( october 2021 ) , and károlyi castle hall of carei ( november 2021 ) . the jubilee exhibition will be presented this time in the nadány zoltán culture house gallery in beretyóújfalu . on this occasion , a"
"20220411123000_eng_A0001006","week , credit-default swaps -- which are fairly illiquid at these levels -- showed a 99 % probability of default on russia ’ s external debt within 12 months . the cds now signal an 88 % chance.a formal default , however , may trigger a legal response by the  russian government , finance minister anton siluanov said in an interview to russian newspaper izvestia.it would be “ a completely politically-driven default with potential huge cost implications for banks and cds hedging the market , ” according to roger landucci , a partner at alphamatrix finance in geneva . there will"
"20220225114500_tra_A0000616",". rescuers work at the scene of the incident , said sergey gaidai.is . the rescuers eliminate the consequences of the shelling on vatutina street and old taganrog . there are extinguishing fires and the salvation of people . previously , 6 people saved , one person died , said  ukraine ."
"20221117203000_tra_A0000180","tass , november 17. the court in mordovia sentenced to send two men to the colony for trade in surrogate alcohol , due to which three people were killed . this was reported in the press service of the investigative department of the investigative committee of  russia in the republic . in mordovia , two men were found guilty of sales of surrogate alcohol , which led to the death of three residents of the republic . the court verdict of the court was sentenced to imprisonment , with one period of 3.5 years , one ,"
"20210712063000_tra_A0001582","strong repulsion of india . in order to realize , the security situation would need to be significantly changed . for russia , tajikistan , the most close allies in central asian countries , asked for the safety of afghanistan and the safety of mountainous border areas . even if  russia and afghanistan have historical history , as in the case of the middle east , there is no way to miss the opportunity to replace the united states , and it is a place where foreign and military work is intensified in the whole central asia is . according to"
"20220601183000_tra_A0000681","mia russia today https : //xn -- c1acbl2abdlkab1og.xn -- -- -- -- -- -- -- -- -- -- -- -- -- -- - p1ai/awards/ria novosti novinternet-group @ rian.ru7 495 645-6601fgup mia russia today https : //xn -- -c1acbl2abdlkab1og.xn -- p1ai/awards/v world , donetsk people ’ s republic , gorlovka ,  russia , styrol , the situation in the dpr and lprvsu fired by mines bayrak and gorlovka"
"20191221070000_tra_A0000090","from russia and germany . russia hoped the 1230 kilometer gas pipeline will be ready by the end of the year , but the project completion is stretched , because getting construction permits from denmark became complicated . the us and eastern and central european countries , among them ,  ukraine , is voiced to the project and fear that it increases europes dependence on russian gas and the political influence of moscow . it is also feared that russia can give greater pressure to ukraine thanks to nord stream 2 , as europe depends on the ukrainian moving russian gas.the"
"20220403230000_tra_A0000635","votes . the union of vojvodina hungarians have 1.6 percent , muftijas amanet - the party of justice and reconciliation , together for vojvodina 0.7 percent , sda sandzak 0.5 percent and albanian coalition valley - 0.3 percent . really srdjana šijana received 0.2 percent , as well as the  russian minority . alternative for changes - albanian democracy alternative received 0.1 percent of the vote . when the voices are turned into the number of parliamentary mandates , that means in order for sns to have 121 deputies in the serbian parliament , united to win serbia 37 prophets ,"
"20210408170000_tra_A0000565","armenian ambassador and deputy minister of the russian federation exchanged views on the current situation in nagorno-karabakh 17:52 , 8 april , 2021 deputy minister of foreign affairs of the  russian federation sergei vershinin took an ambassador of the republic of armenia in the russian federation vardan tanyan at his request . according to the official website of the ministry of foreign affairs of the russian federation , a detailed exchange of views took place on the current situation in nagorno-karabakh"
"20220817050000_tra_A0000218",": // xn-c1acbl2abdlkb1og . xn -- p1ai/awards/20222ia news ofinternet-group @ rian.ru7 495 645-6601fgup mia russia today https : //xn -- -c1acbl2abdlkab1og.xn-p1ai/nostruru-ruhttps : //ria.ru//ian docs/about/copyright.htmlhttps : //xn -- -- c1acbl2abdlkab1og.xn -- p1ai/iasia news minor ) 495 645-6601fgup mia today https : //xn-c1acbl2abdlkab . /awards/ria novosti nov.gorup @ rian.ru7 495 645-6601fgup mia  russia today https : //xn -- -c1acbl2abdlkab1og.xn -- p1ai/awards/iasia news surian.ru 495 645-6601fgup russia today » https : //xn -- -c1acbl2abdlkab1og.xn -- p1ai/awards/ porozhsk region , russiansporozh region , russiav melitopol university may open the main polling station"
"20230103114500_tra_A0001758","and russia one is sure to do : we will speak less publicly , cohen said characteristically , implying that israel will undermine criticism to the russian side , which marked last year . although israel will continue , as he pointed out , the mission of humanitarian aid to  ukraine , the new government will develop a responsible policy on the issue of the ukrainian war , which is to be discussed in detail under the council of ministers . and to no doubt , cohen explicitly said that israels goal is to improve relations with russia , while heralded"
"20220329171500_tra_A0000506",": this is what happens when you choose the president of the post-readers : this is what happens when you choose the president of postagers : this is what happens when you choose the president of the us tidyrendent to be justified for tough applications on change of regime in  russia . biden claims that a number of his statements for which be fading ... | 03/29/2022 , inosmi20222-03-29t15 : 302022-03-29t15 : 302022-03-29t16 : 57breitbartjo bayden sizzynation of readers / html / head / meta [ @ name = og : title ] / @ content / html / head /"
"20220302113000_tra_A0001931","belgrade : all serbian trucks that from ukraine headed for romania managed to get out of the war-affected country , and the talks are taking on four trucks that entered poland in  ukraine . so they were held there , said tanjug president of the international transport association nedo mandic . he stressed that the decision had a problem on the ukrainian-romanian border , two serbian ministries with the embassy of ukraine . in belgrade during yesterday . he added that he doesnt"
"20191119044500_eng_A0000287","be a main focus in the investigation of whether the president used us aid as leverage to get zelenskiy to dig up dirt on biden.diplomat david holmes will testify on thursday , the house intelligence committee said . he will likely be asked about a july 26 gathering at a  kiev  restaurant where sondland called trump on his cellphone from a table on the outdoor terrace.holmes said he could overhear the call and believes two others at the table could as well , according to prepared testimony he delivered behind closed doors in congress on friday. “ so he ’ s"
"20230331133000_tra_A0004145","president of belarus alexander lukashenko during the message to the national assembly ( parliament ) allowed the placement of strategic nuclear weapons in the country . earlier ,  russian president vladimir putin said that on july 1 , russian tactical nuclear weapons are planned to be placed in belarus . “ it will be necessary , putin and i will solve and introduce here strategic nuclear weapons . and they should understand this , bastards who are trying to"
"20230203223000_tra_A0000768","in the war between russia and ukraine , europe stopped by  ukraine and went to sanctions against russia . russia also cut off the gas flow to europe . in france , studies have started to extend the life of reactors . in a statement made after the presidency of a series of meetings on nuclear politics , security rules allow this"
"20220210220000_tra_A0000363","the prime minister of latvia kristyanis karins called that in the foreseeable future in eastern europe there was an increased presence of nato due to the threats of security , allegedly emanating from  russia . he stated this before meeting with german chancellor by olaf scholtsov , president lithuania gitanas based and the prime minister of estonia kai callas , reports tass . according to the premiere that security threats from the russian federation , together with the situation in belarus , mean that"
"20230110163000_tra_A0000424","birth after an accident on volgogradsky prospekt in moscow . according to the father of the child , his wife managed to get to the maternity hospital only with the help of the employees of the rf ic who accidentally appeared nearby . more details - in the material of  moscow  24. stopped the guys from the uk photo : moscow 24/anton velikazhaninavary with the participation of two cars early in the morning on tuesday , january 10. at the wheel of one of the cars was alexei , who was carrying a pregnant wife to the hospital . when the"
"20230208223000_tra_A0000371","institutions of the capitals health care , in which 87 social coordinators and 63 psychologists are now working . “ this is our general project with the department of health , ” said oksana shalygina , deputy head of the department of labor and social protection of the population of  moscow. “ thanks to him , social assistance becomes closer and more accessible to everyone who needs it . social -cores are associated with the relatives of the patients if they can not social coordinators themselves are now associated with relatives of urgently in the hospital if the patient can not"
"20211215210000_tra_A0000373","emergency services received an anonymous report on mining one of the flights to  moscow  sheremetyevo airport . reports about it ria novosti . according to the source , we are talking about a flight that will execute airbus a320 plane , the departure is scheduled for 22.45. law enforcement agencies and other emergency services strengthened security measures at the airport . at the same"
"20220317001500_tra_A0000258","https : //mundo.sputniknews.com/20220316/un-legisler-ruso-acusa-a-eeuu-de-la-militarizacion-y-nazificacion-de-ucrania-1123208202.htmlun russian legislator accuses the us of the militarization and nazification of ukraineaun  russian legislator accuses us of the militarization and nazification of ukranahoscú ( sputnik ) - the president of the duma of state ( low chamber of the russian parliament ) , viacheslav volodin , called to prosecute the senators and congressmen of ... 16.03.2022 , sputnik world2022-03-16t23 : 59 + 00002022-03-16t23"
"20220518143000_tra_A0002471","support because of the increasing concern for supply . the russian production of raw oil in april fell by almost 9 percent in relation and the previous month showed an international opec+ report on tuesday , since the sanctions of the west after the russian invasion of ukraine hit the  russian oil producers on the other hand , the price growth limited reports to plan to alleviate the sanctions against venezuela and allow the chevron corporation to negotiate surgery with the national petroleum company there . although it will bring only a little relief to the market in the short term"
"20220315184500_tra_A0000019","up for the weak , which is obviously in ukraine - and feel and know that the same moral dilemma i just do not care , but partly also by many european politicians . photo gallery : - humanitarian train people , for example , began his bid for accommodation  ukrainians phasing out , because i understand that will not be a day , but rather months . do not perceive it as an association with the advent covidu when we were full of enthusiasm and help , we sewed masks , respirators manufactured and sent it to the other ,"
"20191115081500_tra_A0000660","on the eve in st. petersburg for an attack on the migrant was made another crime . according to the investigation , the 17-year-old fan of the tesacian nationalist participated in the hooligan leaving in the park ekateringof . there , coming , threatening with violence , urged to leave  russia . the meeting of the 30-year-old subsidiary working petersburg confectioner with hostile young people occurred on the day of peoples unity , november 4th . ulugbek picked up in the park ekateringof about eight in the evening . showing him a gas can , young men demanded from a man"
"20220613104500_tra_A0001952","ever since the end of the cold war , the report shows . the study conducted by sipri refers to january 2022 , when the conflict between ukraine and russia had not begun . thus , it is too early to draw certain gross conclusions about how the war in  ukraine will eventually affect the nuclear situation in the world . the ongoing conflict between india and pakistan , the growing hostilities between the border between china and india and the undergoing nuclear efforts of north korea also play a role . sipri is a prestigious international institution dedicated to conflict"
"20221107094500_tra_A0001269","the mayor o for the state press . the ukrainian energy operator , ukrenergo , announced that in some parts of the kiev were scheduled on sunday , such stops were scheduled in the cernihiv , cerkasy , zhytomyr , sumy , kharkiv and poltava regions . desperate measures for  kyiv  kiev authorities could lose the entire electricity supply system , if the key infrastructure attacks will continue . the head of the municipal security department of kiev , roman tkachuk , said that the authorities have planned the total evacuation of the inhabitants of the capital , if they would"
"20191014071500_tra_A0001029",") , in which the kurdish detachments that control this region of the country are dominated . ankara considers most of the kurdish units terrorist . the president of the european commission jean-claude junker called , a. us president at the same time , the examinist of foreign affairs of  ukraine . somewhat later became known that . as a result of the shelling of the north-east of syria from the turkish military . the us department of finance announced , in particular against government agencies in order to prevent further offensive in north syria . subsequently , it became known"
