Event ID	Event Date	Event Type	Event Mode	Event Intensity	Quad Code	Contexts	Actor Name	Actor Country	Actor COW	Primary Actor Sector	Actor Sectors	Actor Title	Actor Name Raw	Wikipedia Actor ID	Recipient Name	Recipient Country	Recipient COW	Primary Recipient Sector	Recipient Sectors	Recipient Title	Recipient Name Raw	Wikipedia Recipient ID	Placename	City	District	Province	Country	Latitude	Longitude	GeoNames ID	Raw Placename	Feature Type	Source	Publication Date	Story People	Story Organizations	Story Locations	Language	Version
20230925-8956-be75ce7e29a3_THREATEN_territory	2023-09-25	THREATEN	territory	-4.00	VERBAL CONFLICT	diplomatic 	None	Russia	365	None	None	None	Russia	None	None	Ukraine	369	None	None	None	Ukraine	None	Republic of Kosovo	None	None	None	XKX	42.58333	20.91667	831053	Kosovo	PCLI	The Guardian	2023-09-25	Josep Borrell | Kurti | Vucic | Borell | Miroslav Lajcák 	EU 	Russian Federation | Brussels | Washington | Moscow Oblast | Pristina | Belgrade | Republic of Kosovo | Ukraine 	English	NGEC_coder-Vers001-b1-Run-001
20230925-9372-106d4d31445d_ACCUSE_disapprove	2023-09-25	ACCUSE	disapprove	-2.00	VERBAL CONFLICT	human_rights 	None	Venezuela	101	None	None	None	Venezuela	None	United Nations fact-finding mission	United Nations	None	None	None	No code identified, but country found	Independent International Fact - Finding Mission	United Nations fact-finding mission	Genève	Genève	Geneva	Geneva	CHE	46.20222	6.14569	2660646	Geneva	PPLA	Agence France Presse	2023-09-25	Yván Gil 	Independent International Fact - Finding Mission | the UN Human Rights Council 	Genève | Bolivarian Republic of Venezuela | United States 	Spanish	NGEC_coder-Vers001-b1-Run-001
20230925-9372-106d4d31445d_ACCUSE_investigate	2023-09-25	ACCUSE	investigate	-3.50	VERBAL CONFLICT	human_rights 	None	None	None	GOV	GOV	mission to the united nations	a mission	None	None	Venezuela	101	None	None	None	Venezuela	None	Genève	Genève	Geneva	Geneva	CHE	46.20222	6.14569	2660646	Geneva	PPLA	Agence France Presse	2023-09-25	Yván Gil 	Independent International Fact - Finding Mission | the UN Human Rights Council 	Genève | Bolivarian Republic of Venezuela | United States 	Spanish	NGEC_coder-Vers001-b1-Run-001
20230925-9372-106d4d31445d_THREATEN_ban	2023-09-25	THREATEN	ban	-3.50	VERBAL CONFLICT	human_rights 	None	Venezuela	101	None	None	None	Venezuela	None	Geneva	Switzerland	225	CVL	CVL	city	Geneva	Geneva	None	None	None	None	None	None	None	None	Monday	None	Agence France Presse	2023-09-25	Yván Gil 	Independent International Fact - Finding Mission | the UN Human Rights Council 	Genève | Bolivarian Republic of Venezuela | United States 	Spanish	NGEC_coder-Vers001-b1-Run-001
20230925-9486-bc76dfb92eb3_ACCUSE_investigate	2023-09-25	ACCUSE	investigate	-3.50	VERBAL CONFLICT	rights_freedoms 	Gitanas Nausėda	Lithuania	368	GOV	GOV	president	Gitanas Nausėda	Gitanas Nausėda	None; None	Ukraine; Poland	369; 290	None; None	None; None	None; None	Ukraine; Poland	None; None	Ukraine	None	None	None	UKR	49.0	32.0	690791	Ukraine; Poland	PCLI	Lithuanian News Agency - ELTA	2023-09-25	Morawiecki | Gitanas Nausėda | Andrzej Duda 	the UN General Assembly | EU 	Kyiv | Republic of Poland | Russian Federation | Warsaw | Ukraine 	English	NGEC_coder-Vers001-b1-Run-001
20230925-9486-bc76dfb92eb3_ACCUSE_allege	2023-09-25	ACCUSE	allege	-3.50	VERBAL CONFLICT	rights_freedoms 	Gitanas Nausėda	Lithuania	368	GOV	GOV	president	Gitanas Nausėda	Gitanas Nausėda	None; None	Ukraine; Poland	369; 290	None; None	None; None	None; None	Ukraine; Poland	None; None	None	None	None	None	None	None	None	None	UN General Assembly	None	Lithuanian News Agency - ELTA	2023-09-25	Morawiecki | Gitanas Nausėda | Andrzej Duda 	the UN General Assembly | EU 	Kyiv | Republic of Poland | Russian Federation | Warsaw | Ukraine 	English	NGEC_coder-Vers001-b1-Run-001
20230925-9541-5353de5d4ae7_CONSULT_visit	2023-09-25	CONSULT	visit	4.00	VERBAL COOPERATION	None	Chester Cooper	Bahamas	31	GOV	GOV	deputy prime minister	Chester Cooper	Chester Cooper	None	Qatar	694	None	None	None	Qatar	None	None	None	None	None	None	None	None	None	NASSAU , Bahamas	None	Canada NewsWire	2023-09-25	Ginger Moxey | I. Chester Cooper | Barry Griffin | Zane Lightbourne 	Ministry of Tourism , Investment and Aviation | BMOTIA 	West Asia Hotel Shanghai | Caribbean | Grand Bahama Island | State of Qatar | Commonwealth of The Bahamas | Nassau 	English	NGEC_coder-Vers001-b1-Run-001
20230926-0125-687206a9661e_THREATEN_arrest	2023-09-26	THREATEN	arrest	-3.50	VERBAL CONFLICT	None	None	None	None	PTY	PTY	conservative party	senior members of the ruling Conservative Party	None	None	Hong Kong SAR China	None	None	None	None	Hong Kong	None	None	None	None	None	None	None	None	None	None	None	文汇报 (简体)	2023-09-26	Cameron | Johnson | Wen Wei Po | Amit 	Virgin Group | Northern Powerhouse | Manchester Airport Group | the Conservative Party 's | Conservative Party | the Conservative Party | British Land 	People’s Republic of China | Manchester | United Kingdom of Great Britain and Northern Ireland | Hong Kong | England | Passu Keah | Shaoguan 	Chinese	NGEC_coder-Vers001-b1-Run-001
20230926-0509-5ebe8556a23f_REQUEST_assist	2023-09-26	REQUEST	assist	0.50	VERBAL CONFLICT	None	Fok Ming Shan; None; None; None	Hong Kong SAR China; None; None; None	None; None; None; None	CVL; None; None; None	CVL; None; None; None	athlete; None; None; None	Lung Shan District Committee Vice Chairman Yiu Ming; Tin Shui Wai South District Committee member Szeto Chun hin; Tuen Mun District Councilor Lai Ka man; Legislative Council member Ho Chun yin	Fok Ming Shan; None; None; None	Lee Ka Yiu	Hong Kong SAR China	None	CVL	CVL	football player	Lee Ka - chiu	Lee Ka Yiu	Hong Kong	Hong Kong	None	Central and Western	HKG	22.27832	114.17469	1819729	Hong Kong	PPLC	文汇报 (简体)	2023-09-26	Chen Yong | Yiu Ming | Ho Chun - yin | Wen Wei Po | Zhou Yuangu | Lee Ka - chiu | Lai Ka - man | Szeto Chun - hin 	Tuen Mun District Councilor | Legislative Council | Tin Shui Wai South District Committee | Point News | the Development and Civic Education Committee | Lung Shan District Committee 	Hong Kong 	Chinese	NGEC_coder-Vers001-b1-Run-001
20230926-0509-5ebe8556a23f_REQUEST_change	2023-09-26	REQUEST	change	-1.00	VERBAL CONFLICT	None	Lee Ka Yiu	Hong Kong SAR China	None	CVL	CVL	football player	Lee Ka - chiu	Lee Ka Yiu	None	None	None	None	None	None	None	None	Hong Kong	Hong Kong	None	Central and Western	HKG	22.27832	114.17469	1819729	Hong Kong	PPLC	文汇报 (简体)	2023-09-26	Chen Yong | Yiu Ming | Ho Chun - yin | Wen Wei Po | Zhou Yuangu | Lee Ka - chiu | Lai Ka - man | Szeto Chun - hin 	Tuen Mun District Councilor | Legislative Council | Tin Shui Wai South District Committee | Point News | the Development and Civic Education Committee | Lung Shan District Committee 	Hong Kong 	Chinese	NGEC_coder-Vers001-b1-Run-001
20230926-0509-5ebe8556a23f_REQUEST_meet	2023-09-26	REQUEST	meet	0.00	VERBAL CONFLICT	None	Lee Ka Yiu	Hong Kong SAR China	None	CVL	CVL	football player	Lee Ka - chiu	Lee Ka Yiu	None	None	None	None	None	None	None	None	Hong Kong	Hong Kong	None	Central and Western	HKG	22.27832	114.17469	1819729	Hong Kong	PPLC	文汇报 (简体)	2023-09-26	Chen Yong | Yiu Ming | Ho Chun - yin | Wen Wei Po | Zhou Yuangu | Lee Ka - chiu | Lai Ka - man | Szeto Chun - hin 	Tuen Mun District Councilor | Legislative Council | Tin Shui Wai South District Committee | Point News | the Development and Civic Education Committee | Lung Shan District Committee 	Hong Kong 	Chinese	NGEC_coder-Vers001-b1-Run-001
20230926-1184-afaeeb9750de_COERCE_seize	2023-09-26	COERCE	seize	-7.00	MATERIAL CONFLICT	cyber | crime 	None	None	None	None	None	None	None	None	None	Hong Kong SAR China	None	None	None	None	Hong Kong	None	None	None	None	None	None	None	None	None	last week	None	文汇报 (简体)	2023-09-26	Zhang Zhilin | Wen Gongzi | Zhuang Strontium 	JPEX 	Hong Kong 	Chinese	NGEC_coder-Vers001-b1-Run-001
20230926-1184-afaeeb9750de_COERCE_censor	2023-09-26	COERCE	censor	-6.50	MATERIAL CONFLICT	cyber | crime 	None	None	None	CVL	CVL	individuals	11 people	None	None	Hong Kong SAR China	None	None	None	None	Hong Kong	None	None	None	None	None	None	None	None	None	None	None	文汇报 (简体)	2023-09-26	Zhang Zhilin | Wen Gongzi | Zhuang Strontium 	JPEX 	Hong Kong 	Chinese	NGEC_coder-Vers001-b1-Run-001
20230926-1316-3348c3939e87_COERCE_seize	2023-09-26	COERCE	seize	-7.00	MATERIAL CONFLICT	repression | legal 	None; Deng Yanlin	None; China	None; 710	None; CVL	None; CVL	None; football player	Ho Junqi; Deng Yanli	None; Deng Yanlin	None	None	None	None	None	None	None	None	Hong Kong Island	None	None	None	HKG	22.26686	114.17885	1819727	Hong Kong Island	ISL	文汇报 (简体)	2023-09-26	Lee Cheuk - yan ’s | Deng Yanli | Ho Chun - yan | Ho Junqi | Ho Chun - ki | Li Zhuoren 's | Deng Yin - ng | Deng Yan'e 's 	the Hong Kong Police Force | the West Kowloon Magistrates ' Courts | Stake Alliance | The National Security Department 	Hong Kong Island 	Chinese	NGEC_coder-Vers001-b1-Run-001
20230926-1316-3348c3939e87_COERCE_restrict	2023-09-26	COERCE	restrict	-7.00	MATERIAL CONFLICT	repression | legal 	None	Hong Kong SAR China	None	COP	COP	police force	Hong Kong Police Force	None	Lee Cheuk-yan	Hong Kong SAR China	None	ELI	ELI	previously held a GOV role, so coded as ELI	Lee Cheuk - yan	Lee Cheuk-yan	Hong Kong Island	None	None	None	HKG	22.26686	114.17885	1819727	Hong Kong Island	ISL	文汇报 (简体)	2023-09-26	Lee Cheuk - yan ’s | Deng Yanli | Ho Chun - yan | Ho Junqi | Ho Chun - ki | Li Zhuoren 's | Deng Yin - ng | Deng Yan'e 's 	the Hong Kong Police Force | the West Kowloon Magistrates ' Courts | Stake Alliance | The National Security Department 	Hong Kong Island 	Chinese	NGEC_coder-Vers001-b1-Run-001
20230926-1316-3348c3939e87_COERCE_arrest	2023-09-26	COERCE	arrest	-7.00	MATERIAL CONFLICT	repression | legal 	None	Hong Kong SAR China	None	MIL	MIL	national security force	National Security Department of the Hong Kong Police Force	None	Deng Yanlin	China	710	CVL	CVL	football player	Deng Yanli	Deng Yanlin	Hong Kong Island	None	None	None	HKG	22.26686	114.17885	1819727	Hong Kong Island	ISL	文汇报 (简体)	2023-09-26	Lee Cheuk - yan ’s | Deng Yanli | Ho Chun - yan | Ho Junqi | Ho Chun - ki | Li Zhuoren 's | Deng Yin - ng | Deng Yan'e 's 	the Hong Kong Police Force | the West Kowloon Magistrates ' Courts | Stake Alliance | The National Security Department 	Hong Kong Island 	Chinese	NGEC_coder-Vers001-b1-Run-001
20230926-2039-b1e01783771a_REQUEST_assist	2023-09-26	REQUEST	assist	0.50	VERBAL CONFLICT	terrorism | territory 	None	None	None	UNK	UNK	region	regional countries	None	None	France	220	None	None	None	France	None	Republic of Niger	None	None	None	NER	18.0	9.0	2440476	Niger	PCLI	文汇报 (简体)	2023-09-26	Macron | Wen Wei Po 	None	Sahel | Hong Kong | Republic of Niger | Republic of France 	Chinese	NGEC_coder-Vers001-b1-Run-001
20230925-3079-f588fce6ef0f_REQUEST	2023-09-25	REQUEST	None	0.00	VERBAL CONFLICT	None	Justin Trudeau	Canada	20	GOV	GOV	prime minister	Justin Trudeau	Justin Trudeau	Ottawa	Canada	20	GOV	GOV	capital city	Ottawa	Ottawa	New Delhi	New Delhi	New Delhi	Delhi	IND	28.63576	77.22445	1261481	New Delhi	PPLC	Hindustan Times	2023-09-25	Justin Trudeau | Hardeep Singh Nijjar | Trudeau | Indira Gandhi 	None	Ottawa | Canada | Republic of India | New Delhi 	English	NGEC_coder-Vers001-b1-Run-001
20230925-3318-d9f823e88782_ASSAULT_abduct	2023-09-25	ASSAULT	abduct	-8.50	MATERIAL CONFLICT	military 	None	None	None	None	None	None	None	None	None	Bahrain	692	MIL	MIL	military personnel	soldiers from Bahrain	None	Kingdom of Bahrain	None	None	None	BHR	26.03333	50.55	290291	Bahrain	PCLI	Agence France Presse	2023-09-25	None	None	Kingdom of Bahrain | Republic of Yemen | Kingdom of Saudi Arabia 	English	NGEC_coder-Vers001-b1-Run-001
20230925-3318-d9f823e88782_ASSAULT_torture	2023-09-25	ASSAULT	torture	-8.50	MATERIAL CONFLICT	military 	None	None	None	None	None	None	None	None	None	Bahrain	692	MIL	MIL	military personnel	Two soldiers from Bahrain	None	Kingdom of Bahrain	None	None	None	BHR	26.03333	50.55	290291	Bahrain	PCLI	Agence France Presse	2023-09-25	None	None	Kingdom of Bahrain | Republic of Yemen | Kingdom of Saudi Arabia 	English	NGEC_coder-Vers001-b1-Run-001
20230925-3318-d9f823e88782_ASSAULT_primitive	2023-09-25	ASSAULT	primitive	-8.00	MATERIAL CONFLICT	military 	None	None	None	None	None	None	None	None	None	Bahrain	692	MIL	MIL	military personnel	Two soldiers from Bahrain	None	Kingdom of Bahrain	None	None	None	BHR	26.03333	50.55	290291	Bahrain	PCLI	Agence France Presse	2023-09-25	None	None	Kingdom of Bahrain | Republic of Yemen | Kingdom of Saudi Arabia 	English	NGEC_coder-Vers001-b1-Run-001
20230925-3318-d9f823e88782_ASSAULT_explosives	2023-09-25	ASSAULT	explosives	-9.00	MATERIAL CONFLICT	military 	None	None	None	None	None	None	None	None	None	Bahrain	692	MIL	MIL	military personnel	Two soldiers from Bahrain	None	Kingdom of Bahrain	None	None	None	BHR	26.03333	50.55	290291	Bahrain	PCLI	Agence France Presse	2023-09-25	None	None	Kingdom of Bahrain | Republic of Yemen | Kingdom of Saudi Arabia 	English	NGEC_coder-Vers001-b1-Run-001
20230925-3318-d9f823e88782_ASSAULT_suicide-attack	2023-09-25	ASSAULT	suicide-attack	-9.50	MATERIAL CONFLICT	military 	None	None	None	None	None	None	None	None	None	Bahrain	692	MIL	MIL	military personnel	Two soldiers from Bahrain	None	Kingdom of Bahrain	None	None	None	BHR	26.03333	50.55	290291	Bahrain	PCLI	Agence France Presse	2023-09-25	None	None	Kingdom of Bahrain | Republic of Yemen | Kingdom of Saudi Arabia 	English	NGEC_coder-Vers001-b1-Run-001
20230925-3318-d9f823e88782_ASSAULT_heavy-weapons	2023-09-25	ASSAULT	heavy-weapons	-9.50	MATERIAL CONFLICT	military 	None	None	None	None	None	None	None	None	None	Bahrain	692	MIL	MIL	military personnel	Two soldiers from Bahrain	None	Kingdom of Bahrain	None	None	None	BHR	26.03333	50.55	290291	Bahrain	PCLI	Agence France Presse	2023-09-25	None	None	Kingdom of Bahrain | Republic of Yemen | Kingdom of Saudi Arabia 	English	NGEC_coder-Vers001-b1-Run-001
20230925-3702-3c1d13503350_REQUEST_yield	2023-09-25	REQUEST	yield	-1.00	VERBAL CONFLICT	migration 	None	Poland	290	GOV	GOV	Foreign Minister	Poland 's foreign minister	None	None	Germany	260	None	None	None	Germany	None	Warsaw	Warsaw	Warszawa	Mazovia	POL	52.22977	21.01178	756135	Warsaw	PPLC	Associated Press Newswires	2023-09-25	Scholz | Olaf Scholz | Zbigniew Rau | Mateusz Morawiecki | Rau 	the Foreign Ministry | Law and Justice 	Slovak Republic | Federal Republic of Germany | Republic of Poland | Poland | Warsaw 	English	NGEC_coder-Vers001-b1-Run-001
20230925-3702-3c1d13503350_ACCUSE	2023-09-25	ACCUSE	None	-3.00	VERBAL CONFLICT	migration 	None	Poland	290	GOV	GOV	Foreign Minister	Poland 's foreign minister	None	None	Germany	260	None	None	None	Germany	None	Warsaw	Warsaw	Warszawa	Mazovia	POL	52.22977	21.01178	756135	Warsaw	PPLC	Associated Press Newswires	2023-09-25	Scholz | Olaf Scholz | Zbigniew Rau | Mateusz Morawiecki | Rau 	the Foreign Ministry | Law and Justice 	Slovak Republic | Federal Republic of Germany | Republic of Poland | Poland | Warsaw 	English	NGEC_coder-Vers001-b1-Run-001
20230925-3957-d15634814c28_THREATEN	2023-09-25	THREATEN	None	-3.50	VERBAL CONFLICT	environment | natural_resource 	None	European Union	None	None	None	None	The European Union	None	None	None	None	UNK	UNK	continent	countries	None	None	None	None	None	None	None	None	None	COP28 UN climate summit	None	Reuters News	2023-09-25	None	EU | The European Union | Reuters 	Dubai | Republic of France 	English	NGEC_coder-Vers001-b1-Run-001
20230925-4642-a1defc03daf3_ACCUSE	2023-09-25	ACCUSE	None	-3.00	VERBAL CONFLICT	None	None	Cuba	40	None	None	None	Cuba	None	United States Department of State	United States	2	GOV	GOV	federal government	US State Department	United States Department of State	Washington	Washington	Washington County	Washington, D.C.	USA	38.89511	-77.03637	4140963	Washington	PPLC	Agence France Presse	2023-09-25	Joe Biden | Lianys Torres Rivera | Rodríguez | Matthew Miller 	the US State Department | State Department 	Washington | Republic of Cuba | United States 	Spanish	NGEC_coder-Vers001-b1-Run-001
20230925-4913-66f3d74ad108_CONSULT	2023-09-25	CONSULT	None	2.50	VERBAL COOPERATION	None	None; None	None; None	None; None	GOV; GOV	GOV; GOV	authorities; State Minister	officials; state minorities department minister	None; None	Ajit Pawar	India	750	PTY	PTY | OPP	leader of the opposition	Ajit Pawar	Ajit Pawar	Pune	Pune	Pune Division	Maharashtra	IND	18.51957	73.85535	1259229	Pune	PPL	Hindustan Times	2023-09-25	Eknath Shinde | Ajit | Pawar | Abdul Sattar | Ajit Pawar 	Maulana Azad Mandal | the Bharatiya Janata Party | UPA | Wakf Board 	State of Mahārāshtra | Pune 	English	NGEC_coder-Vers001-b1-Run-001
20230926-5399-50c46730f36d_CONSULT_multilateral	2023-09-26	CONSULT	multilateral	4.00	VERBAL COOPERATION	diplomatic 	Joe Biden; Pacific Islands Forum	United States; New Zealand	2; 920	GOV; None	GOV; None	president; No code identified, but country found	Biden; leaders of the Pacific Islands Forum member states	Joe Biden; Pacific Islands Forum	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	White House	None	大公报 (简体)	2023-09-26	Biden 	Ta Kung Pao News | the Pacific Islands Forum | Reuters 	People’s Republic of China | Niue | White House | Solomon Islands | Casablanca | Republic of Vanuatu | Cook Islands | Southwest Pacific Basin | United States Virgin Islands | United States 	Chinese	NGEC_coder-Vers001-b1-Run-001
20230926-5982-2e268974d5e9_CONSULT_phone	2023-09-26	CONSULT	phone	1.50	VERBAL COOPERATION	None	None; Central Committee of the Chinese Communist Party	None; China	None; 710	None; PTY	None; PTY	None; communist party	None; CPC Central Committee	None; Central Committee of the Chinese Communist Party	None	None	None	None	None	None	None	None	Beijing	Beijing	Beijing	Beijing	CHN	39.9075	116.39723	1816670	Beijing	PPLC	大公报 (简体)	2023-09-26	None	\Xinhua News Agency | the All - China Federation of Returned Overseas Chinese | the State Council | the Overseas Chinese Affairs Office of the State Council | the General Office of the National Committee of the Chinese People 's Political Consultative Conference | the China Overseas Chinese Federation | Ta Kung Pao News | The General Office of the National Committee of the Chinese People ’s Political Consultative Conference | Xinhua News Agency | the Hong Kong and Macao Affairs Office of the State Council | the Overseas Chinese Affairs Office | the Taiwan Affairs Office of the State Council | the China Federation of Returned Overseas Chinese | the United Front Work Department of the CPC Central Committee 	People’s Republic of China | Beijing Capital International Airport | Beijing | Republic of Cameroon | Democratic Republic of the Congo 	Chinese	NGEC_coder-Vers001-b1-Run-001
20230925-6598-a8e52d40e94a_ASSAULT	2023-09-25	ASSAULT	None	-9.00	MATERIAL CONFLICT	legal 	Grampian Police	United Kingdom	200	COP	COP	police force	Gurugram Police	Grampian Police	None; None	None; None	None; None	AGR; None	AGR; None	cattleperson; None	cow vigilante; functionary	None; None	State of Haryāna	None	None	Haryana	IND	29.25	76.33333	1270260	Haryana	ADM1	Hindustan Times	2023-09-25	Monu Manesar | Kumar | Yadav | Mohit Yadav 	Haryana Police | The Gurugram Police | Bajrang Dal | the Rajasthan Police 	Bhiwani | Ajmer | Agra Airport | State of Rājasthān | Gurgaon | Sewar | State of Haryāna | Nūh 	English	NGEC_coder-Vers001-b1-Run-001
20230925-8634-8bb43ac7acff_ASSAULT_abduct	2023-09-25	ASSAULT	abduct	-8.50	MATERIAL CONFLICT	military 	Houthi movement	Yemen	679	REB	REB	armed separatist movement	Huthi	Houthi movement	None	Bahrain	692	MIL	MIL	military personnel	soldiers from Bahrain	None	None	None	None	None	None	None	None	None	southern Saudi Arabia	None	Agence France Presse	2023-09-25	None	None	Kingdom of Bahrain | Sanaa | Republic of Yemen | Kingdom of Saudi Arabia 	English	NGEC_coder-Vers001-b1-Run-001
20230925-8634-8bb43ac7acff_ASSAULT_explosives	2023-09-25	ASSAULT	explosives	-9.00	MATERIAL CONFLICT	military 	Houthi movement	Yemen	679	REB	REB	armed separatist movement	Huthi	Houthi movement	None	Bahrain	692	MIL	MIL	military personnel	soldiers from Bahrain	None	None	None	None	None	None	None	None	None	southern Saudi Arabia	None	Agence France Presse	2023-09-25	None	None	Kingdom of Bahrain | Sanaa | Republic of Yemen | Kingdom of Saudi Arabia 	English	NGEC_coder-Vers001-b1-Run-001
